"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"209";"Pétange";"Y30T49";"From 30 to 49 years";"Total";"5967";"20385";"5967";"29.3"
"2021";"1204";"Mondorf-les-Bains";"Y90T94";"From 90 to 94 years";"Total";"65";"5403";"65";"1.2"
"2021";"505";"Weiswampach";"Y40T44";"From 40 to 44 years";"Male";"87";"2225";"156";"55.8"
"2021";"704";"Rambrouch";"Y_LT5";"Less than 5 years";"Male";"122";"4697";"243";"50.2"
"2021";"1";"Canton Capellen";"Y15T19";"From 15 to 19 years";"Male";"1620";"51523";"3022";"53.6"
"2021";"207";"Leudelange";"Y_LT5";"Less than 5 years";"Female";"65";"2704";"134";"48.5"
"2021";"603";"Diekirch";"Y5T9";"From 5 to 9 years";"Male";"161";"7143";"325";"49.5"
"2021";"701";"Beckerich";"Y15T29";"From 15 to 29 years";"Total";"552";"2776";"552";"19.9"
"2021";"1202";"Dalheim";"Y25T29";"From 25 to 29 years";"Male";"70";"2399";"141";"49.6"
"2021";"806";"Lac de la Haute-Sûre";"Y5T9";"From 5 to 9 years";"Male";"68";"2160";"128";"53.1"
"2021";"604";"Erpeldange-sur-Sûre";"Y60T64";"From 60 to 64 years";"Male";"87";"2435";"192";"45.3"
"2021";"709";"Vichten";"Y5T9";"From 5 to 9 years";"Male";"36";"1365";"87";"41.4"
"2021";"701";"Beckerich";"Y_LT15";"Less than 15 years";"Female";"219";"2776";"444";"49.3"
"2021";"107";"Kopstal";"Y85T89";"From 85 to 89 years";"Female";"37";"4137";"69";"53.6"
"2021";"802";"Esch-sur-Sûre";"Y30T34";"From 30 to 34 years";"Total";"247";"2991";"247";"8.3"
"2021";"305";"Niederanven";"Y85T89";"From 85 to 89 years";"Female";"76";"6442";"125";"60.8"
"2021";"708";"Useldange";"Y95T99";"From 95 to 99 years";"Male";"1";"2029";"2";"50.0"
"2021";"408";"Lorentzweiler";"Y_GE85";"85 years or over";"Male";"43";"4420";"127";"33.9"
"2021";"602";"Bourscheid";"Y65T84";"From 65 to 84 years";"Female";"104";"1686";"186";"55.9"
"2021";"206";"Kayl";"Y45T49";"From 45 to 49 years";"Male";"331";"9701";"685";"48.3"
"2021";"8";"Canton Wiltz";"Y90T94";"From 90 to 94 years";"Total";"93";"18562";"93";"0.5"
"2021";"_T";"Total";"Y35T39";"From 35 to 39 years";"Total";"50219";"643941";"50219";"7.8"
"2021";"901";"Tandel";"Y55T59";"From 55 to 59 years";"Male";"74";"2207";"147";"50.3"
"2021";"1101";"Betzdorf";"Y50T64";"From 50 to 64 years";"Total";"880";"4126";"880";"21.3"
"2021";"203";"Dudelange";"Y85T89";"From 85 to 89 years";"Male";"100";"21568";"298";"33.6"
"2021";"609";"Schieren";"Y_GE85";"85 years or over";"Male";"10";"2113";"26";"38.5"
"2021";"505";"Weiswampach";"Y90T94";"From 90 to 94 years";"Male";"0";"2225";"10";"0.0"
"2021";"504";"Troisvierges";"Y45T49";"From 45 to 49 years";"Total";"235";"3463";"235";"6.8"
"2021";"11";"Canton Grevenmacher";"Y75T79";"From 75 to 79 years";"Male";"422";"31682";"884";"47.7"
"2021";"310";"Walferdange";"Y_GE85";"85 years or over";"Female";"113";"8527";"181";"62.4"
"2021";"709";"Vichten";"Y10T14";"From 10 to 14 years";"Male";"35";"1365";"79";"44.3"
"2021";"1203";"Lenningen";"Y30T34";"From 30 to 34 years";"Female";"59";"2047";"119";"49.6"
"2021";"808";"Winseler";"Y45T49";"From 45 to 49 years";"Female";"51";"1420";"106";"48.1"
"2021";"603";"Diekirch";"Y30T34";"From 30 to 34 years";"Total";"589";"7143";"589";"8.2"
"2021";"1107";"Mertert";"Y35T39";"From 35 to 39 years";"Female";"167";"4760";"335";"49.9"
"2021";"404";"Fischbach";"Y90T94";"From 90 to 94 years";"Female";"2";"1256";"2";"100.0"
"2021";"309";"Strassen";"Y10T14";"From 10 to 14 years";"Male";"317";"10261";"643";"49.3"
"2021";"402";"Bissen";"Y85T89";"From 85 to 89 years";"Total";"34";"3315";"34";"1.0"
"2021";"214";"Schifflange";"Y50T54";"From 50 to 54 years";"Male";"371";"11148";"760";"48.8"
"2021";"307";"Schuttrange";"Y90T94";"From 90 to 94 years";"Total";"7";"4306";"7";"0.2"
"2021";"401";"Colmar-Berg";"Y90T94";"From 90 to 94 years";"Total";"13";"2271";"13";"0.6"
"2021";"403";"Helperknapp";"Y25T29";"From 25 to 29 years";"Female";"177";"4664";"349";"50.7"
"2021";"402";"Bissen";"Y10T14";"From 10 to 14 years";"Male";"99";"3315";"195";"50.8"
"2021";"105";"Kehlen";"Y50T54";"From 50 to 54 years";"Total";"460";"6168";"460";"7.5"
"2021";"1106";"Manternach";"Y50T54";"From 50 to 54 years";"Total";"182";"2232";"182";"8.2"
"2021";"1107";"Mertert";"Y15T29";"From 15 to 29 years";"Male";"430";"4760";"856";"50.2"
"2021";"903";"Vianden";"Y85T89";"From 85 to 89 years";"Total";"54";"2168";"54";"2.5"
